Дата проведения,Название выставки,Клуб-организатор
16-17 августа 2014г.,«ГОРОДСКИЕ КOШКИ»,"КЛК ""ПРОСТО КОШКИ"";"
16-17 августа 2014г.,«КОРОЛЕВСКИЕ КОШКИ КАВКАЗА»,Лига Заводчиков Северного Кавказа ФАЗ «Королевские Кошки»;
16-17 августа 2014г.,«ЛЕТНИЙ КУБОК КОТ ИНФО»,КЛК Фауна;
16-17 августа 2014г.,«ГРАН-ПРИ ПЛЕСКАВЫ 2014»,Клуб Любителей Кошек «Плескава»;
16-17 августа 2014г.,«БАШКИРСКОЕ ЛЕТО-2014»,Региональная Общественная Организация Клуб Любителей Животных ИРЕМЕЛЬ;
9-10 августа 2014г.,«ЮЖНАЯ ЗВЕЗДА»,"Клуб любителей кошек ""Черная пантера"";"
9-10 августа 2014г.,«ИНФИНИТИ»,Не указано
9-10 августа 2014г.,«КАПРИЗ»,"Фелинологический центр ""Каприз"";"
9-10 августа 2014г.,«ЗОЛОТАЯ  КОСТРОМА»,"КЛЖ  ""БОН-АМИ"";"
2-3 августа 2014г.,«ФЕЛИС»,"Племенной фелинологический центр ""ФЕЛИС"";"
2-3 августа 2014г.,«КОШАЧЬИ АССАМБЛЕИ - КУБОК ГАТЧИНЫ»,"Объединение любителей кошек «Эйлур», Санкт-Петербург Клуб любителей кошек «Приорат», Гатчина;"
2-3 августа 2014г.,«МОРСКОЙ КИС-БОМОНД»,"КЛК ""Менуэт"";"
26-27 июля 2014г.,«МАКУШКА ЛЕТА»,КЛК Параллель ;
26-27 июля 2014г.,«АК БАРС - ЮБИЛЕЙНАЯ»,АК БАРС;
26 июля 2014г.,«ДОМАШНИЙ ZООПАРК»,"PURR-PURR, Екатеринбург (TICA)  и BEST CAT, Казань (ICU);"
26-27 июля 2014г.,«ЖАRА»,"ФЦ ""Экселлент"";"
19-20 июля 2014г.,«ВАСИЛЬКОВОЕ ЛЕТО 2014»,"КЛК ""ФЕЛИСИЯ"";"
19-20 июля 2014г.,«ЖЕМЧУЖИНА-2014»,"МКЛК ""Жемчужина"";"
19-20 июля 2014г.,«УФАКОТ-2014»,ФЕЛИНОЛОГИЧЕСКАЯ ФЕДЕРАЦИЯ РЕСПУБЛИКИ БАШКОРТОСТАН;
19-20 июля 2014г.,«БЕСКОНЕЧНОСТЬ НЕ ПРЕДЕЛ! НАМ 8 ЛЕТ!»,Клуб любителей кошек «Funny Cat»;
19-20 июля 2014г.,«ФЕЛИСИТИ»,"Клуб любителей кошек ""ФелиСити"";"
12-13 июля 2014г.,«КУБОК ЛЕОРУСС»,"Клуб любителей кошек ""LEORUSS"";"
12-13 июля 2014г.,«ИНЬ И ЯН КOШКИ ЗАПАДА И ВОСТОКА»,Фелинологический центр «Модные кошки»;
6 июля 2014г.,«ДЕНЬ ГОРОДА КOШЕК»,Mon Amour Cat Club;
5-6 июля 2014г.,«КОТОФЕЙ НА ДАЧЕ»,КЛК Котофей ;
5-6 июля 2014г.,«ВСТРЕЧА НА ВОЛГЕ»,КЛК Супер Кот;
5-6 июля 2014г.,«ФРЕЯ»,"WCF клуб ""ФРЕЯ"";"
5-6 июля 2014г.,«ВСТРЕЧИ НА ОБИ 2014 »,НОВОСИБИРСКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОМИР»;
5-6 июля 2014г.,"«ЛЕТО, АХ, ЛЕТО!»","Клуб Любителей Кошек ""МАРКИЗА"";"
3-5 июля 2014г.,«SUMMER CAT SUMMIT 2014»,"Белорусский Фелинологический Центр ""Фелита"";"
28-29 июня 2014г.,«КУБОК БЕЛОГО ГОРОДА»,Клуб любителей кошек «Кошки Белогорья»;
28-29 июня 2014г.,«ЛЕТО ЦВЕТА МЯУ»,МЯУ-Клуб;
28-29 июня 2014г.,«КУБОК УРАЛА – 2014»,"УРОФО ""Грация"";"
28-29 июня 2014г.,«KATTEN KABINET - 9»,МФЦ «ФЕЛИС» совместно с ООО «АВС (All Breed Cats)»;
28-29 июня 2014г.,«КОШКИ И ГОРОД»,клуб «Королевская династия»;
28-29 июня 2014г.,«ЛЕТНИЕ ЦАРАПКИ»,"Клуб Любителей Кошек ""Funny Cat Club"";"
28-29 июня 2014г.,«СМОЛЕНСКИЙ ПОЗИТИВ»,"Фелинологический племенной центр ""КЭТТИ"";"
21-22 июня 2014г.,«ДАВАЙТЕ ЖИТЬ ДРУЖНО!»,ЦЕНТР «АЛИСА» ;
21-22 июня 2014г.,«ЛЕТНИЙ АЛЬЯНС-2014»,Альянс;
21-22 июня 2014г.,«35-ЛЕТИЕ TICA»,TICA Club CRYSTAL;
21-22 июня 2014г.,«КУБОК ХЕРСОНЕСА -2014»,Не указано
14-15 июня 2014г.,«ВСЕМИРНАЯ»,"ФОО ""МИСТЕР КОТ"" совместно с УРОФО ""Грация"" и КЛК ""МоККо"";"
14-15 июня 2014г.,«КОРГОРУШИ»,РФОО «Коргоруши»;
14-15 июня 2014г.,«10 ЛЕТ В КРУГУ ДРУЗЕЙ»,"Сочинский КЛК  ""ДИАМАНТ-КРИСТАЛЛ"" ;"
13-14 июня 2014г.,«ДРУЖЕСКИЕ ВСТРЕЧИ»,КЛК «Топ Лайн»;
12 июня 2014г.,«FACTOR B: RUSSIAN GOLD»,Клуб породистых кошек «Богема»;
12-13 июня 2014г.,"«ВИВАТ, РОССИЯ!»",Клуб любителей кошек Dennis;
7-8 июня 2014г.,«VARA INSORITA 2014»,FELIS MOLDOVA;
7-8 июня 2014г.,«БОМОНД КОШEК-2014»,"ФПЦ ""Зоомир"" и  КЛК ""Эмеральд"";"
1 июня 2014г.,«ДЕНЬ ЗАЩИТЫ ДЕТЕЙ И КОТЯТ»,KЛK «Зеленоградская Жемчужина» ;
1 июня 2014г.,«ЗООМАГИЯ - 2014»,ОМСКИЙ ГОРОДСКОЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «БАГИРА»;
1 июня 2014г.,«ЛЕСНОЙ КОТ»,"РОО ""Урман Кот"";"
31 мая - 1 июня 2014г.,«ВЕСЕННИЙ ПРИЗЫВ 2014»,"КЛК""ФАВОРИТ"";"
31 мая - 1 июня 2014г.,«КОШКА-ЛЕТО»,Фелинологический Центр «МЕГА-ЦЕНТР»!;
31 мая - 1 июня 2014г.,«ЛЕТНИЙ ВЕРНИСАЖ»,"Федерация Заводчиков ""ФАВОРИТ"";"
31 мая - 1 июня 2014г.,«КУБОК ПРИАЗОВЬЯ-2014»,КЛК «ГРАНД ФЕЛИС БАСТ»;
31 мая - 1 июня 2014г.,«В ОТПУСК С UNION CATS»,Фелинологический клуб «Юнион кэтс»;
31 мая - 1 июня 2014г.,«ЦВЕТОК САКУРЫ - МИР ДЕТСТВА»,"КЛК ""Превосходные кошки"";"
31 мая - 1 июня 2014г.,«КЛЖ ФОРТУНА»,клж фортуна;
31 мая - 1 июня 2014г.,«РЕГУЛ»,"КЛК ""Регул"";"
31 мая - 1 июня 2014г.,«ZOOTERRA»,ФА Вариета;
31 мая - 1 июня 2014г.,«NEW COLLECTION OF CATS»,Альфа Кот;
24-25 мая 2014г.,«ЭЛИТКЭТ»,КЛК ЭЛИТКЭТ ;
24-25 мая 2014г.,«ЛУЧШИЙ ВЕСЕННИЙ КОТ РОССИИ - 2014»,МОКЛК Валенсия ;
24-25 мая 2014г.,«МЯУ!МАЙ!»,КЛК «БИСЕР»;
24-25 мая 2014г.,«5-Й КУБОК САМАРЫ»,"КЛУБ ""СЧАСТЛИВАЯ ПЛАНЕТА"";"
24-25 мая 2014г.,«ЛАСКОВЫЙ MY CAT»,"клуб ""Фауна"";"
24-25 мая 2014г.,«КЛК АЛИСА-БЕСТ ЯРОСЛАВЛЬ»,КЛК Алиса-Бест Ярославль;
18 мая 2014г.,«ВЕСЕННЯЯ КАПЕЛЬ - 2014»,"""Жемчужина Сибири"" ;"
18 мая 2014г.,«КОТ УЧЁНЫЙ РУССКИЕ СУВЕНИРЫ»,Фелинологический Племенной Центр «ЦАРСТВО КОШЕК»;
18 мая 2014г.,«ФЕЛИССЕНТА»,Фелинологический центр «Фелиссента» ;
17-18 мая 2014г.,«МИЛЛИОН ДРУЗЕЙ 2014»,"Курский клуб любителей кошек ""Баст"";"
17-18 мая 2014г.,«ЛАСКОВОЕ МЯУ»,КЛК Параллель ;
17-18 мая 2014г.,«MUR-PARTY»,КЛК МурМяур ;
17-18 мая 2014г.,«PERSONA-SHOW-X»,"Клуб ""PERSONA-cat"" ;"
17-18 мая 2014г.,«FOREST CAT SHOW 2014»,"Bageera Clab, Alisa-Best, Felidae;"
10-11 мая 2014г.,«КЭТ – ПАРАД»,Клуб Любителей Кошек «Амулет-Кэт» ;
10-11 мая 2014г.,«АВГУСТЕЙШАЯ ОСОБА - НАМ 25»,"клуб ""АВГУСТИН"";"
10-11 мая 2014г.,«ВЕСЕННИЙ КЭТ-САЛОН»,"клуба любителей кошек ""Москва"";"
10-11 мая 2014г.,«КОТОМАЙ!»,Фелинологический Клуб «VERITAS-CATS»;
9-10 мая 2014г.,«ЗВЁЗДЫ ПОБЕДЫ»,"КЛК ""Магия кошек"";"
9-11 мая 2014г.,«РУССКАЯ КРАСАВИЦА»,"Нижегородский Клуб Любителей Кошек ""КОШКИН ДОМ"";"
9-11 мая 2014г.,«ВЕСЕННИЙ КУБОК ПРЕСТИЖА-2014 СЕВЕРО-КАВКАЗСКОГО ФЕДЕРАЛЬНОГО ОКРУГА»,"КЛК ""Престиж"" - независимый клуб с 1993 года;"
3-4 мая 2014г.,«ЗВЕЗДА ВОСТОКА»,ВФЦ «АСТРА»;
3-4 мая 2014г.,«САЙМЕ»,"КЛК ""Сайме"";"
3-4 мая 2014г.,«ЗВЁЗДНАЯ КОМПАНИЯ»,"Клуб любителей кошек ""Cats & Company"";"
3-4 мая 2014г.,«ЖЕМЧУЖИНА ТАВРИИ»,Херсонский Областной Клуб Любителей Кошек «ОРТУС»;
3 мая 2014г.,«КРЕДО ПЛЮС ШОУ - 2014»,"КФЦ ""КРЕДО ПЛЮС"" ;"
2-3 мая 2014г.,«МАЙ! МОЙ! МЯУ!»,"Клуб Любителей Кошек ""БАГИРА"";"
1-2 мая 2014г.,«ВСЕМИРНАЯ»,"КЛК ""Камея"" при содействии КЛК ""Когоруши"" и АКЛК ""Котофей"" ;"
1 мая 2014г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ КРАСНОЯРСКОГО КРАЯ 2014»,"Центр любителей собак, кошек и других домашних животных ""КОВЧЕГ"";"
1-2 мая 2014г.,«МЯУ - РЕВЮ 2014»,MystiCat ;
1-2 мая 2014г.,«СИБИРИАДА 2014»,НОВОСИБИРСКИЙ КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «КОТОМИР»;
27 апреля 2014г.,«УДИВИТЕЛЬНЫЕ  КОШКИ ВЕСНА-2014»,Региональный кинолого-фелинологический центр  «Гранд+» ;
27 апреля 2014г.,«ТАГАНИЙ КОТ НА БОЛЬШОЙ ЧЕРЕПАХЕ»,Клуб любителей кошек «Бриз-Kiss»;
26-27 апреля 2014г.,«МЕДУНИЦА В СУПЕРКЭТС»,Ассоциация СУПЕРКЭТС;
26-27 апреля 2014г.,«ПОСЛЕДНИЙ ШАНС»,"Клуб TICA ""Purr-Purr"";"
26-27 апреля 2014г.,«КУБОК ФАРУС 2014»,Kaluga-Best ;
26-27 апреля 2014г.,«WORLD CAT OLIMPIA»,"Саффи, ФелиСити, Stammbaum e.V. ;"
26-27 апреля 2014г.,«МЕЖДУНАРOДНЫЙ КЭТ ФЕСТИВАЛЬ - SHOW CFA »,CFA club “Chatte Noir”;
26-27 апреля 2014г.,«ЗООШОУ»,"Клуб любителей кошек ""Бастет"";"
20 апреля 2014г.,«ВЕСЕННЯЯ КОТЕЛЬ»,КЛК «СейМур»;
20 апреля 2014г.,«ЮБИЛЕЙНАЯ- НАМ 15 ЛЕТ!»,Клуб любителей кошек «БАСТ»;
19-20 апреля 2014г.,«ФЕЛИТА АПРЕЛИССИМА»,"Белорусский Фелинологический Центр ""Фелита;"
19-20 апреля 2014г.,«ВАЛЬС ЦВЕТОВ»,Best BY Cats;
19-20 апреля 2014г.,«СОДРУЖЕСТВО - 2014»,«Содружество». Открытое объединение фелинологических клубов.;
19-20 апреля 2014г.,«РУССКАЯ КРАСАВИЦА»,Кошкин Дом-НН;
19-20 апреля 2014г.,«WEEKEND IN WESTERN STYLE»,"Клуб Любителей Кошек ""AURINKO"";"
19-20 апреля 2014г.,«МАГИЯ КОШEК»,"Клуб Любителей Кошек ""ФРЕЙЯ"";"
19-20 апреля 2014г.,«MUR MIR»,Клуб Любителей Кошек Mur Mir;
12-13 апреля 2014г.,«AK BARS»,АК БАРС;
12-13 апреля 2014г.,«ЗЕЛЕНОЕ НАСТРОЕНИЕ»,МЯУ-Клуб;
12-13 апреля 2014г.,«КOШКИ В КОСМОСЕ II»,Региональный Племенной Фелинологический Центр «АРТЕМИДА»;
12-13 апреля 2014г.,«ВЕСЕННИЙ КАРНАВАЛ»,"Клуб любителей кошек «ЦАРСТВО КОШЕК"";"
12-13 апреля 2014г.,«МОСКОВСКАЯ ВЕСНА-2014»,Объединение Любителей Сибирских Кошек им. Т.Е. Павловой ;
12-13 апреля 2014г.,«АПРЕЛЬСКИЕ КАПЕЛИ 2014»,Фелинологический племенной центр «Catland NN»;
12 апреля 2014г.,«КОСМОКОШКИ»,"Клуб любителей кошек ""Самарская Лука"";"
12-13 апреля 2014г.,«КУБОК УФЫ 2014»,"Клуб Любителей Кошек ""Элит"";"
12-13 апреля 2014г.,«ЗОЛОТОЙ КУБОК УРАЛА - 2014»,Уральский Сувенир;
5-6 апреля 2014г.,«ВЕСЕННЯЯ ВСТРЕЧА ДРУЗЕЙ»,"Донецкий ILCF КЛК ""ВЛАДМИНЕС"";"
5 апреля 2014г.,«ПАН  КОЦЬКИЙ»,Племенной фелинологический центр “ПАН  КОЦЬКИЙ”;
5-6 апреля 2014г.,«АМУР-ГЛАМУРР»,КЛК Глория;
5-6 апреля 2014г.,«MAGIA VESNY»,"КЛК ""Велес"";"
5 апреля 2014г.,«БАРС»,"Фелинологический центр ""Барс"";"
5 апреля 2014г.,«КУБОК  ЯКУТИИ -2014»,"Многопородный клуб любителей кошек ""Северный кот"";"
5-6 апреля 2014г.,«ВЕСЕННИЙ МАРАФОН — 2014»,Клуб «FELIMUR» ;
5-6 апреля 2014г.,«ВЕСЕННИЙ МАРАФОН»,КЛК  Лучшие Друзья;
5-6 апреля 2014г.,"«ВЕСЕННЯЯ РАПСОДИЯ , 3 КОТА - МЕЛОДИЯ»",Саратовский Клуб любителей кошек «Кошкин Дом»;
5-6 апреля 2014г.,«КАЛЕЙДОСКОП»,Felichita;
5-6 апреля 2014г.,«ПРЯНИЧНЫЕ КОШКИ»,"Тульский клуб ""МИКС"";"
30 марта 2014г.,«FACTOR B: CATS IN SPACE»,Клуб породистых кошек «Богема»;
30 марта 2014г.,«ВЕСЕННИЙ ПАРАД КОШEК»,КЛК «Алиса Коломна»;
29-30 марта 2014г.,«МЯУ ШОУ –САЯНЫ 2014»,Клуб любителей животных «Фауна»;
29-30 марта 2014г.,«БРЯНСКИЕ ПРОСТОРЫ »,ФЦ ГЕРБЕР-КЭТ ;
29-30 марта 2014г.,«ЦВЕТОК САКУРЫ ВЕСНА»,КЛК Превосходные кошки;
29-30 марта 2014г.,«ВЕСЕННИЙ МАРАФОН»,Клуб Любителей Кошек «БАГИРА»;
29 марта 2014г.,«WORLD CAT SHOW»,"ОКЛК  ""Чеширский Кот, ZC ""Garfield"", КЛК ""CAT'S MEUW"";"
29-30 марта 2014г.,«TOP СAT WCF»,Общественная организация любителей животных Элитар-Клуб;
29-30 марта 2014г.,«МАГИЯ КОШEК»,Клуб Любителей Кошек «Аура Бест»;
29 марта 2014г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ ДАЛЬНЕГО ВОСТОКА»,Клуб Любителей Кошек «ЭльГранд»;
23 марта 2014г.,«САНТАНА»,"ФПЦ ""Сантана"";"
22-23 марта 2014г.,«ЕВРАЗИЯ – 2014»,"Уральская Региональная Общественная Фелинологическая Организация ""Грация"";"
22-23 марта 2014г.,«ЗВЕЗДА ВЕСНЫ»,"Всемирный Фелинологический Центр ""АСТРА"" ;"
22-23 марта 2014г.,«ВЕСЕННЯЯ КАПЕЛЬ»,"КЛК ""Евразия"";"
22-23 марта 2014г.,«КОШКА В КАЖДОМ ОКОШКЕ»,Клуб Любителей Кошек «Плескава»;
22-23 марта 2014г.,«ВЕСЕННЯЯ КАПЕЛЬ»,"Клуб Любителей Кошек ""МАРКИЗА"";"
22-23 марта 2014г.,«УИКЕНД В ДЖУНГЛЯХ»,Клуб любителей кошек Cher ami;
15-16 марта 2014г.,«ВЕСЕННЕЕ РАНДЕВУ»,ЦЕНТР «АЛИСА»;
15-16 марта 2014г.,«КУБОК ТЕКСТИЛЬНОГО КРАЯ»,ФКЛК Созвездие;
15-16 марта 2014г.,«CFA CAT SHOW»,Rolandus Cat Club (CFA);
15-16 марта 2014г.,«FELINA BELISSIMA - VI»,"ОО ""Фелинологический Центр""Фелис"";"
15-16 марта 2014г.,«ПРАЙД»,"Племенной фелинологический Центр ""Прайд"";"
15-16 марта 2014г.,«СИМБИРЦИТОВАЯ КОШКА»,"""Фелинологический центр ""Богема"";"
14-16 марта 2014г.,«ЗООМИР ЮГА РОССИИ»,"""ИРБИС""; КЛК  «Гарфилд и Ко»; «Кэт Лэнд Юг»; НП ПиПЗЮ;"
8-9 марта 2014г.,«СНЕЖНЫЙ КОТ»,Фелинологический Центр «МЕГА-ЦЕНТР»;
8-9 марта 2014г.,«ЭЛИТКЭТ»,КЛК «Элиткэт»;
8-9 марта 2014г.,«АК БАРС»,АК БАРС;
8-9 марта 2014г.,«В ЧЕСТЬ ПРЕКРАСНЫХ ДАМ»,Фелинологический Альянс Украины;
8-9 марта 2014г.,«КУБОК КРИВОРОЖЬЯ»,"Криворожский ФПЦ ""БАФФИ"";"
8-9 марта 2014г.,«ВЕСНА С UNION CATS»,Фелинологический клуб  «Union Cats»;
8-9 марта 2014г.,«ZOOSTAR-20»,ФПЦ «ZOOSTAR»;
8-9 марта 2014г.,«ВЕСЕННИЙ МАРАФОН»,"Клуб Любителей Кошек ""ФелиСити"";"
8-9 марта 2014г.,«ВЫЧЕГОДСКИЕ ЗОРИ ЗАРНИ КАНЬ ВЕСНА - 2014»,"КЛК ""KomiNet"";"
8-9 марта 2014г.,«ОТКРЫТЫЙ ЧЕМПИОНАТ ПОВОЛЖЬЯ»,Фелинологический центр «Фелиссента» ;
1-2 марта 2014г.,«КУБОК БЕЛОГО ГОРОДА»,Клуб любителей кошек «Кошки Белогорья»;
1-2 марта 2014г.,«WORLD CAT DAY»,Клуб любителей кошек «Параллель;
1-2 марта 2014г.,«КОРОЛЕВСКИЕ КОШКИ КАВКАЗА – КАЖДАЯ КОШКА ДОСТОЙНА БРИЛЛИАНТОВ!!!»,Лига Заводчиков Северного Кавказа (LBNC) Региональной общественной организации Ставропольского края «Фелинологическая Ассоциация Заводчиков «Королевские Кошки»;
1-2 марта 2014г.,«КЭТСБУРГ-2014»,клубы Ассоциации СУПЕРКЭТС;
1-2 марта 2014г.,«ДА ЗДРАВСТВУЕТ ЕЕ ВЕЛИЧЕСТВО КOШКА»,ФЦ «Алиса»  и АЗМ «Cооncat»;
1-2 марта 2014г.,«ВЕСЕННИЙ СЮРПРИЗ!»,Фелинологический Клуб «VERITAS-CATS»;
1-2 марта 2014г.,«В ГОСТЯХ У САФФИ - НАМ 25»,Клуб любителей кошек САФФИ;
1-2 марта 2014г.,«ВСЕМИРНЫЙ ДЕНЬ КOШЕК»,"Фелинологический племенной центр ""КЭТТИ"";"
1 марта 2014г.,«УДИВИТЕЛЬНЫЕ ЛЕСНЫЕ КОШКИ - ВЕСНА-2014 »,Общественная организация  Региональный кинолого-фелинологический центр  «Гранд+» ;
1-2 марта 2014г.,«МОЙ ЛАСКОВЫЙ И НЕЖНЫЙ ЗВЕРЬ»,"ЧГООЛК ""КЭТ"";"
22-23 февраля 2014г.,«ФЕЛИС»,"Племенной фелинологический центр ""ФЕЛИС"";"
22 февраля 2014г.,«WILD WILD CATS 2014»,"КЛК WCF ""Коргоруши"", КЛК WCF ""Кот-Мажор"", TICA клуб ""Major"";"
22-23 февраля 2014г.,«ЗИМНИЙ КЭТ-САЛОН»,"клуб любителей кошек ""Москва"";"
22-23 февраля 2014г.,«ЗОЛУШКА»,"КЛК ""Кэт"";"
22-23 февраля 2014г.,«КОШАЧИЙ ДЕСАНТ»,Funny Cat Club ;
22-23 февраля 2014г.,«МОРОЗНЫЙ ИНЕЙ ФЕВРАЛЯ»,"Ассоциация клубов любителей кошек ""КОТОФЕЙ"";"
16 февраля 2014г.,«ДЕНЬ ВЛЮБЛЕННЫХ КОТОВ»,"AT CLUB EDELWEISS, КЛПК Зеленоградская Жемчужина, КЛК Панда ;"
15-16 февраля 2014г.,«МИСТЕР КОТ»,МОКЛК Валенсия;
15-16 февраля 2014г.,«ФЕВРАЛЬСКИЕ МЕТЕЛИ»,Фелинологический племенной центр «Catland NN»;
15-16 февраля 2014г.,«ЭКЗОТИКА – CAT’S»,Клуб «Вертикаль»;
15-16 февраля 2014г.,«ИМПЕРАТОРСКИЙ РАУНД»,"Клуб любителей кошек ""Империя Кошек"";"
8-9 февраля 2014г.,«ВАЛЕНТИНКИ ДЛЯ ЗАВОДЧИКОВ»,"Донецкий КЛК ""ВЛАДМИНЕС"";"
8-9 февраля 2014г.,«МАНДАРИН»,КЛК Мандарин;
8-9 февраля 2014г.,«ФЦ КАПРИЗ»,ФЦ Каприз;
8-9 февраля 2014г.,«LOVE  IS МЯУ»,"""МЕЧТА"";"
8 февраля 2014г.,«ПАМЯТИ ЛЮДМИЛЫ ЕСИНОЙ»,РФОО «Коргоруши»;
8-9 февраля 2014г.,«ОЛИМПИЙСКАЯ»,Клуб любителей кошек «Олимпия К»;
1-2 февраля 2014г.,«RUI CAT SHOW»,Международная Ассоциации Любителей Кошек;
1-2 февраля 2014г.,«JET PARTY - 2014»,TICA клуб JetCat совместно с WCF клубом РосКошь;
1-2 февраля 2014г.,«СКАЗОЧНОЕ ЛУКОМОРЬЕ»,"Нижегородский клуб ""ФОРТУНА"" ;"
1-2 февраля 2014г.,«КАРНАВАЛ МЯУ 2014 »,Новосибирский Клуб Любителей Кошек «Котомир»;
1-2 февраля 2014г.,«ВОЛЖСКАЯ ЗИМА»,"Клуб Любителей Кошек ""Prima Felina"";"
1 февраля 2014г.,«ЛУННЫЙ КОТ»,клуб «Котоффский»;
26 января 2014г.,«FACTOR “B”: HOT JANUARY CAT»,Клуб породистых кошек «Богема»;
26 января 2014г.,«ЯНВАРСКИЕ КРУЖЕВА - 2014»,"КЛК ""Жемчужина Сибири"";"
25-26 января 2014г.,«БЕЛОСНЕЖНОЕ ЧУДО»,ДРПФЦ Алиса ;
25 января 2014г.,«RUI CAT SHOW»,"Донецкий Клуб Любителей Кошек ""Розовая Пантера"";"
25-26 января 2014г.,«ТАТЬЯНИН ДЕНЬ!»,"Клуб любителей кошек ""Фауна+"";"
25-26 января 2014г.,«ЗИМНИЙ СЮРПРИЗ»,Фелинологический Клуб «VERITAS-CATS»;
25 января 2014г.,«ЗИМНЕЕ КОНФЕТТИ»,клуб любителей кошек «Конфетти»;
25 января 2014г.,«КУБОК ФЕЛИНОЛОГИЧЕСКОЙ ФЕДЕРАЦИИ РЕСПУБЛИКИ БАШКОРТОСТАН»,"ФФРБ и КЛК ""ФАВОРИТ ЛАЙН"";"
25-26 января 2014г.,«WINNERS' SHOW»,Харьковский племенной центр «WinnerCat»;
18-19 января 2014г.,«ЗИМНЯЯ ВИШНЯ»,ФЦ «Самарис»;
11-12 января 2014г.,«ЗИМНЯЯ СКАЗКА »,луб Любителей Кошек «Deja Vu»;
11-12 января 2014г.,«ПРАЗДНИК ПРОДОЛЖАЕТСЯ»,Best BY Cats;
11-12 января 2014г.,«ЗИМНИЕ ВСТРЕЧИ»,"КЛК ""Кошкин Дом"";"
11-12 января 2014г.,«НОВОГОДНЯЯ СКАЗКА»,Феличита;
7-8 января 2014г.,«РОЖДЕСТВЕНСКИЙ БАЛ»,"Клуб Любителей Кошек ""Котамур-р-р"";"
6-8 января 2014г.,«АК БАРС»,АК БАРС;
6-7 января 2014г.,« ЗИМНИЙ АЛЬЯНС-2014 »,Фелинологический клуб Альянс (г. Москва);
5-6 января 2014г.,«ГРАН-ПРИ СИБИРИ»,Королевская династия;
5 января 2014г.,«ЗИМНЯЯ СКАЗКА»,"Новосибирский клуб ""Экстра -Кэт"";"
5-7 января 2014г.,«РОЖДЕСТВЕНСКАЯ СКАЗКА»,"Клуб ""Модные кошки"";"
4-5 января 2014г.,«АЛИСА-БЕСТ - КАЗАНЬ»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК Алиса Бест Казань;
4-5 января 2014г.,«ЗОЛОТАЯ КОСТРОМА»,Клуб Любителей Животных «Бон-Ами»;
4-5 января 2014г.,«ПУШИСТЫЙ МУРРРАФОН»,"КЛК ""Элита Сибири"";"
4-5 января 2014г.,«КУБОК ЧЕРНОЗЕМЬЯ 2014»,"Клуб любителей кошек ""Баст"";"
4-5 января 2014г.,«ЛУЧШАЯ КОШКА БЕЛАРУСИ»,"Белорусский Фелинологический Центр ""Фелита"";"
4-5 января 2014г.,«ЦВЕТОК САКУРЫ С НОВЫМ ГОДОМ»,клуб Превосходные кошки;
4-6 января 2014г.,"«УШИ, ЛАПЫ, ХВОСТ»",Клуб Любителей Кошек «Самарская Лука»;
4 января 2014г.,«НОВОГОДНИЙ КАРНАВАЛ»,Приморская общественная организация «Кошачье царство»;
4 января 2014г.,«БЕЛАЯ ЛИСА +  СОЗВЕЗДИЕ ДРУЗЕЙ»,"КЛК ""Белая Лиса"" Петропавловск, Казахстан и КЛК ""Созвездие друзей"" Челябинск;"
21-22 декабря 2013г.,«КАМЕННЫЙ ЦВЕТОК»,"клуб любителей кошек ""Элиткэт"";"
21-22 декабря 2013г.,«КАЛЯДНЫЯ ЗОРКИ»,СУПЕРКЭТС-М - Белорусский клуб АСК;
21-22 декабря 2013г.,«СЕЗОН РУССКОЙ КОШКИ-2013»,Объединение Любителей Сибирских Кошек им. Т.Е. Павловой ;
21-22 декабря 2013г.,«САРАБИ»,Фелинологический Центр САРАБИ;
21-22 декабря 2013г.,«КОТ - НОВЫЙ ГОД»,клуб « ЛЕГЕНДА»;
21-22 декабря 2013г.,«НОВОГОДНИЙ БАЛ КОШEК»,Омский городской клуб любителей кошек «Багира»  совместно с ассоциацией КЛК «Котофей»;
21-22 декабря 2013г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ»,Зооцентр Гарфилд;
21-22 декабря 2013г.,«ALPHA PERSON»,"Клуб ""Альфа Кот"";"
14-15 декабря 2013г.,«СНЕЖНЫЙ КОТ»,"клуб любителей кошек  ""МЯУ-Клуб"";"
14-15 декабря 2013г.,«MUR-PARTY»,"Клуб любителей кошек ""МурМяур"";"
14-15 декабря 2013г.,«АК БАРС»,АК БАРС;
14-15 декабря 2013г.,«CAT-МАСКАРАД»,"Криворожский ФПЦ ""БАФФИ"";"
14-15 декабря 2013г.,«КУБОК КОТ-ИНФО »,КЛК Фауна;
14-15 декабря 2013г.,«СНЕЖНЫЙ КРИСТАЛЛ 2013»,TICA Club CRYSTAL;
14 декабря 2013г.,«СНЕЖНАЯ КОРОЛЕВА»,"КЛК ""Кошкин дом;"
14-15 декабря 2013г.,«ЗИМНИЙ ВЕРНИСАЖ»,КЛУБ ЛЮБИТЕЛЕЙ КОШЕК «ЧЕШИРСКИЙ КОТ»;
